full_text,text_clean,label,tokens,lemma
@KompasTV Coba deklarasi ganjar dulu pak mungkin bulan depan surat pemeriksaannya diilangin sama umbi umbi kejaksaan,coba deklarasi ganjar dulu mungkin bulan depan surat periksa diilangin sama umbi umbi jaksa,2,"['coba', 'deklarasi', 'ganjar', 'dulu', 'mungkin', 'bulan', 'depan', 'surat', 'periksa', 'diilangin', 'sama', 'umbi', 'umbi', 'jaksa']",coba deklarasi ganjar surat periksa diilangin umbi umbi jaksa
"@Leonita_Lestari akankah ada nantinya titik pertemuan capres cawapres Ganjar - Prabowo ? semoga saja, negara ini sudah capek bertikai antar penerus bangsa",akan nanti titik temu capres cawapres ganjar prabowo moga negara cape tika antar terus bangsa,0,"['akan', 'nanti', 'titik', 'temu', 'capres', 'cawapres', 'ganjar', 'prabowo', 'moga', 'negara', 'cape', 'tika', 'antar', 'terus', 'bangsa']",titik temu capres cawapres ganjar prabowo moga negara cape tika terus bangsa
@lhayesno @yunartowijaya @budimandjatmiko Harus p.ganjar calon RI 1,ganjar calon,1,"['ganjar', 'calon']",ganjar calon
"Mantan Panglima TNI Andika Perkasa Siap Jadi Cawapres Ganjar, PPP Buka Suara https://t.co/iVJOUl1sff",mantan panglima andika perkasa siap jadi cawapres ganjar buka suara,1,"['mantan', 'panglima', 'andika', 'perkasa', 'siap', 'jadi', 'cawapres', 'ganjar', 'buka', 'suara']",mantan panglima andika perkasa cawapres ganjar buka suara
"@supian_ator @Dennysiregar7 @budimandjatmiko Kenapa lari ke Ganjar,bukankah judul di atas itu tentang Budiman dan Prabowo,ini penyakit hati yg akut, nebar hoax lagi.",lari ganjar bukankah judul atas budiman prabowo sakit hati akut nebar isubohong,1,"['lari', 'ganjar', 'bukankah', 'judul', 'atas', 'budiman', 'prabowo', 'sakit', 'hati', 'akut', 'nebar', 'isubohong']",lari ganjar judul budiman prabowo sakit hati akut nebar isubohong
"@democrazymedia Jagoan lu dulu, Jokowi, sampai sekarang ngga bisa realisasi tuh janji dia mau bangun stadion persija. Sekarang lu ngibul lagi kl ganjar mo bikin stadion besar. Ngibul lu yg besar Hasto @PDI_Perjuangan",jago kamu dulu jokowi sekarang bisa realisasi janji bangun stadion persija sekarang kamu bohong kalo ganjar buat stadion besar bohong kamu besar hasto,2,"['jago', 'kamu', 'dulu', 'jokowi', 'sekarang', 'bisa', 'realisasi', 'janji', 'bangun', 'stadion', 'persija', 'sekarang', 'kamu', 'bohong', 'kalo', 'ganjar', 'buat', 'stadion', 'besar', 'bohong', 'kamu', 'besar', 'hasto']",jago jokowi realisasi janji bangun stadion persija bohong kalo ganjar stadion bohong hasto
"@Dennysiregar7 Sudah lah emang si ganjar itu bakal di tinggal gerbong relawan, gagasan gak ada, prestasi g ada, kemampyan utk diplomasi ke dunia internasional g ada, bakal calon boneka megatron krn ada perjanjian batu tulis mega ganjr kata si ade armando makin dikuatkan oleh si budiman skrg.",memang ganjar bakal tinggal gerbong rawan gagas prestasi kemampyan diplomasi dunia internasional bakal calon boneka megatron janji batu tulis mega ganjr kata armando makin kuat budiman sekarang,2,"['memang', 'ganjar', 'bakal', 'tinggal', 'gerbong', 'rawan', 'gagas', 'prestasi', 'kemampyan', 'diplomasi', 'dunia', 'internasional', 'bakal', 'calon', 'boneka', 'megatron', 'janji', 'batu', 'tulis', 'mega', 'ganjr', 'kata', 'armando', 'makin', 'kuat', 'budiman', 'sekarang']",ganjar tinggal gerbong rawan gagas prestasi kemampyan diplomasi dunia internasional calon boneka megatron janji batu tulis mega ganjr armando kuat budiman
"@SWEETAL154 ...ntar kalo Ganjar kepilih, keknya nasibnya kek pakdhe Jokowi.... nenek elo kekunci dikamar mandi... nyalahin pak Ganjar",jika ganjar pilih kayak nasib kayak pakdhe jokowi nenek kunci kamar mandi nyalahin ganjar,1,"['jika', 'ganjar', 'pilih', 'kayak', 'nasib', 'kayak', 'pakdhe', 'jokowi', 'nenek', 'kunci', 'kamar', 'mandi', 'nyalahin', 'ganjar']",ganjar pilih kayak nasib kayak pakdhe jokowi nenek kunci kamar mandi nyalahin ganjar
"@ganjarpranowo Jalan di kampung saya kel.cilibur kec.paguyangan, kab.brebes pak sangat tidak layak pakai pak, sudah puluhan tahun rusak, sekalinya dibenerin paling bertahan sebulan dua bulan itu pun karna swadaya masyarakat. Tolong pak ganjar minta perhatian khususnya tolong????????",jalan kampung lurah cilibur camat paguyangan kabupaten brebes sangat layak pakai puluh tahun rusak sekali dibenerin paling tahan bulan bulan swadaya masyarakat ganjar minta perhati khusus,2,"['jalan', 'kampung', 'lurah', 'cilibur', 'camat', 'paguyangan', 'kabupaten', 'brebes', 'sangat', 'layak', 'pakai', 'puluh', 'tahun', 'rusak', 'sekali', 'dibenerin', 'paling', 'tahan', 'bulan', 'bulan', 'swadaya', 'masyarakat', 'ganjar', 'minta', 'perhati', 'khusus']",jalan kampung lurah cilibur camat paguyangan kabupaten brebes layak pakai puluh tahun rusak dibenerin tahan swadaya masyarakat ganjar perhati
"@ferrykoto @budimandjatmiko Cara berpolitik Budiman memang jauh ke depan, sementara sebagian besar masih jalan di tempat. Kemunculan Ganjar, kalau dicermati adalah hasil dari beberapa lembaga survei yg mengorbitkannya dari gubernur biasa saja sehingga Megawati TERPAKSA mencapreskannya. Entah siapa bohirnya",cara politik budiman memang jauh depan bagi besar jalan tempat muncul ganjar kalau cermat hasil beberapa lembaga survei orbit gubernur biasa sehingga megawati paksa mencapreskannya tidaktahu siapa bohirnya,2,"['cara', 'politik', 'budiman', 'memang', 'jauh', 'depan', 'bagi', 'besar', 'jalan', 'tempat', 'muncul', 'ganjar', 'kalau', 'cermat', 'hasil', 'beberapa', 'lembaga', 'survei', 'orbit', 'gubernur', 'biasa', 'sehingga', 'megawati', 'paksa', 'mencapreskannya', 'tidaktahu', 'siapa', 'bohirnya']",politik budiman jalan muncul ganjar cermat hasil lembaga survei orbit gubernur megawati paksa mencapreskannya tidaktahu bohirnya
"Gak usah saling hina,klaim,semua manusia sama, ingin bahagia,membuat orang lain bahagia itu manusia yg terbaik.utk urusan negara serahkan ahlinya yg sdh nyata. GANJAR PRANOWO yg terbaik saat ini, terbukti dgn data dan fakta, yg lain belum saatnya..",perlu saling hina klaim semua manusia sama bahagia buat orang bahagia manusia baik urus negara serah ahli nyata ganjar pranowo baik bukti data fakta lain saat,1,"['perlu', 'saling', 'hina', 'klaim', 'semua', 'manusia', 'sama', 'bahagia', 'buat', 'orang', 'bahagia', 'manusia', 'baik', 'urus', 'negara', 'serah', 'ahli', 'nyata', 'ganjar', 'pranowo', 'baik', 'bukti', 'data', 'fakta', 'lain', 'saat']",hina klaim manusia bahagia bahagia manusia baik urus negara serah ahli ganjar pranowo baik bukti data fakta
"Ada fakta menarik di balik sosok Pak Ganjar yg sering mengenakan baju garis hitam putih.   Ternyata baju itu yang mendesain Presiden @jokowi , dan kini menjadi trend di kalangan relawan Ganjar. @ganjarpranowo https://t.co/On4VA1mOXd",fakta tarik balik sosok ganjar sering kena baju garis hitam putih nyata baju desain presiden kini jadi trend kalang rawan ganjar,0,"['fakta', 'tarik', 'balik', 'sosok', 'ganjar', 'sering', 'kena', 'baju', 'garis', 'hitam', 'putih', 'nyata', 'baju', 'desain', 'presiden', 'kini', 'jadi', 'trend', 'kalang', 'rawan', 'ganjar']",fakta tarik sosok ganjar baju garis hitam putih baju desain presiden trend kalang rawan ganjar
Pesan Ganjar Pranowo ke Jurkam,pesan ganjar pranowo jurkam,0,"['pesan', 'ganjar', 'pranowo', 'jurkam']",pesan ganjar pranowo jurkam
Ganjar Pranowo tidak akan menggunakan politik uang dan politik identitas dalam menarik simpati masyarakat  Dengan elektabilitas Pak Ganjar yang tinggi tentunya seluruh masyarakat Indonesia sudah tahu dengan kinerja Gubernur Jateng tersebut.  Keysia Dingin Bali Tidur Binus https,ganjar pranowo akan guna politik uang politik identitas tarik simpati masyarakat elektabilitas ganjar tinggi tentu seluruh masyarakat indonesia tahu kerja gubernur jateng sebut dingin bal tidur bus,1,"['ganjar', 'pranowo', 'akan', 'guna', 'politik', 'uang', 'politik', 'identitas', 'tarik', 'simpati', 'masyarakat', 'elektabilitas', 'ganjar', 'tinggi', 'tentu', 'seluruh', 'masyarakat', 'indonesia', 'tahu', 'kerja', 'gubernur', 'jateng', 'sebut', 'dingin', 'bal', 'tidur', 'bus']",ganjar pranowo politik uang politik identitas tarik simpati masyarakat elektabilitas ganjar tinggi masyarakat indonesia gubernur jateng dingin bal tidur bus
"@putrisakera Ganjar Orangnya Jokowi ( asli Indonesia ) Prabowo orangnya Jokowi ( asli Indonesia )  Anies ? ( Asli orang Arab ) faktanya bgitu kan?  Sorry ya, Putra - Putri Pribumi Nusantara masih banyak yg bisa dan siap jadi pemimpin kami. Rakyat Indonesia tdk ingin hancur seperti Yaman..",ganjar orang jokowi asli indonesia prabowo orang jokowi asli indonesia anies asli orang arab fakta bgitu maaf putra putri pribumi nusantara banyak bisa siap jadi pimpin rakyat indonesia ingin hancur yaman,1,"['ganjar', 'orang', 'jokowi', 'asli', 'indonesia', 'prabowo', 'orang', 'jokowi', 'asli', 'indonesia', 'anies', 'asli', 'orang', 'arab', 'fakta', 'bgitu', 'maaf', 'putra', 'putri', 'pribumi', 'nusantara', 'banyak', 'bisa', 'siap', 'jadi', 'pimpin', 'rakyat', 'indonesia', 'ingin', 'hancur', 'yaman']",ganjar jokowi asli indonesia prabowo jokowi asli indonesia anies asli arab fakta bgitu maaf putra putri pribumi nusantara pimpin rakyat indonesia hancur yaman
"Tahun 2024 PDIP diambang kehancuran, terutama setelah mencapreskan Ganjar yang penuh masalah dan zero prestasi. Lengkap sudah jalan menuju kehancuran  Sudah saatnya PDIP tenggelam  https://t.co/GKb1uz7TF5",tahun pdip ambang hancur utama mencapreskan ganjar penuh masalah zero prestasi lengkap jalan tuju hancur saat pdip tenggelam,2,"['tahun', 'pdip', 'ambang', 'hancur', 'utama', 'mencapreskan', 'ganjar', 'penuh', 'masalah', 'zero', 'prestasi', 'lengkap', 'jalan', 'tuju', 'hancur', 'saat', 'pdip', 'tenggelam']",tahun pdip ambang hancur utama mencapreskan ganjar penuh zero prestasi lengkap jalan hancur pdip tenggelam
"siaga KPU curang,  https://t.co/iIIVCYDW38  Erick Thohir Paling Diterima Masyarakat Jadi Cawapres Ganjar Pranowo , lebih banyak detail : https://t.co/TVp5Sj1R4H",siaga curang erick thohir paling terima masyarakat jadi cawapres ganjar pranowo lebih banyak detail,1,"['siaga', 'curang', 'erick', 'thohir', 'paling', 'terima', 'masyarakat', 'jadi', 'cawapres', 'ganjar', 'pranowo', 'lebih', 'banyak', 'detail']",siaga curang erick thohir terima masyarakat cawapres ganjar pranowo detail
@Dennysiregar7 Baliho GANJAR dah digulung.... Baliho SI BAPAK jg dah digulung....  Mmg relawan2 dri pihak 2 capres itu butuh edukasi lbh banyak.,baliho ganjar gulung baliho bapak sudah gulung memang rawan pihak capres butuh edukasi lebih banyak,0,"['baliho', 'ganjar', 'gulung', 'baliho', 'bapak', 'sudah', 'gulung', 'memang', 'rawan', 'pihak', 'capres', 'butuh', 'edukasi', 'lebih', 'banyak']",baliho ganjar gulung baliho gulung rawan capres butuh edukasi
"@Uki23 BPJS disorot Jokowi dipuja Ganjar di dukung  Demi perolehan suara, yg sungsang pun dilakukan bwakakak",bpjs sorot jokowi puja ganjar dukung oleh suara sungsang laku bwakakak,1,"['bpjs', 'sorot', 'jokowi', 'puja', 'ganjar', 'dukung', 'oleh', 'suara', 'sungsang', 'laku', 'bwakakak']",bpjs sorot jokowi puja ganjar dukung suara sungsang bwakakak
"@Hasbil_Lbs @ganjarpranowo Perintah rakyat bisa diabaikan, perintah Ketum PDIP siap laksanakan lalu siapa sesungguhnya tuan dari Ganjar ? ??????",perintah rakyat abai perintah ketuaumum pdip siap laksana lalu siapa sungguh tuan ganjar,2,"['perintah', 'rakyat', 'abai', 'perintah', 'ketuaumum', 'pdip', 'siap', 'laksana', 'lalu', 'siapa', 'sungguh', 'tuan', 'ganjar']",perintah rakyat abai perintah ketuaumum pdip laksana sungguh tuan ganjar
@mbahsurip_sanse @CNNIndonesia Pendukung Ganjar Pranowo ????. https,dukung ganjar pranowo,1,"['dukung', 'ganjar', 'pranowo']",dukung ganjar pranowo
"Para Purnawirawan TNI - POLRI serta Keluarga Besarnya di Jawa Tengah. Dukung Anies Baswedan pada Pilpres 2024.  Suara Ganjar sudah mulai tergerus di JATENG"" https://t.co/zachcdPYeV""",purnawirawan polri keluarga besar jawa tengah dukung anies baswedan pilpres suara ganjar mulai gerus jateng,2,"['purnawirawan', 'polri', 'keluarga', 'besar', 'jawa', 'tengah', 'dukung', 'anies', 'baswedan', 'pilpres', 'suara', 'ganjar', 'mulai', 'gerus', 'jateng']",purnawirawan polri keluarga jawa tengah dukung anies baswedan pilpres suara ganjar gerus jateng
@e100ss @Unair_Official  Really? Persamaan dengan Jendral Sudirman? Jendral Sudirman orang saleh. Enggak kepikiran nonton bokep kayak Ganjar. MALU2IN cara jilatnya.,really sama jendral sudirman jendral sudirman orang saleh pikir nonton porno ganjar malu cara jilat,2,"['really', 'sama', 'jendral', 'sudirman', 'jendral', 'sudirman', 'orang', 'saleh', 'pikir', 'nonton', 'porno', 'ganjar', 'malu', 'cara', 'jilat']",really jendral sudirman jendral sudirman saleh pikir nonton porno ganjar malu jilat
Bawaslu nya pro ganjar.. Tolol,bawaslu profesional ganjar tolol,2,"['bawaslu', 'profesional', 'ganjar', 'tolol']",bawaslu profesional ganjar tolol
@geloraco Ngak mungkinlah Ganjar susah bikin seragam Hitam Putih garis-garis masak di batalkan..,mungkin ganjar susah buat seragam hitam putih garis garis masak batal,0,"['mungkin', 'ganjar', 'susah', 'buat', 'seragam', 'hitam', 'putih', 'garis', 'garis', 'masak', 'batal']",ganjar susah seragam hitam putih garis garis masak batal
@PresidenKopi Ganjar batal y?,ganjar batal,2,"['ganjar', 'batal']",ganjar batal
"@DokterTifa Pak Ganjar Pranowo Presiden RI ke 8 makin mulus jalannya, hanya orang pesong/gila yg berkeberatan dgn ramalan2 bodoh tolol dan gobloknya MERDEKA??????????.",ganjar pranowo presiden makin mulus jalan orang pesong gila rat ramal bodoh tolol goblok merdeka,1,"['ganjar', 'pranowo', 'presiden', 'makin', 'mulus', 'jalan', 'orang', 'pesong', 'gila', 'rat', 'ramal', 'bodoh', 'tolol', 'goblok', 'merdeka']",ganjar pranowo presiden mulus jalan pesong gila rat ramal bodoh tolol goblok merdeka
"Ganjar Bertemu Masyayikh dan Habaib se-Indonesia di Rembang.  Pertemuan bertajuk Silaturahmi Masyayikh se-Indonesia"" itu untuk berdiskusi, di antaranya membahas soal kemajuan pendidikan hingga rencana pembangunan Ibu Kota Nusantara (IKN). @ganjarpranowo https://t.co/7qkMRSHHSU""",ganjar temu masyayikh habaib indonesia rembang temu tajuk silaturahmi masyayikh indonesia diskus antara bahas soal maju didik hingga rencana bangun kota nusantara,1,"['ganjar', 'temu', 'masyayikh', 'habaib', 'indonesia', 'rembang', 'temu', 'tajuk', 'silaturahmi', 'masyayikh', 'indonesia', 'diskus', 'antara', 'bahas', 'soal', 'maju', 'didik', 'hingga', 'rencana', 'bangun', 'kota', 'nusantara']",ganjar temu masyayikh habaib indonesia rembang temu tajuk silaturahmi masyayikh indonesia diskusi bahas maju didik rencana bangun kota nusantara
"@Dennysiregar7 @budimandjatmiko Sudah lah julpikar dongok, lu hadapi aja kenyataan bahwa si ganjar itu emang g pantas memimpin, gagasan gak ada, prestasi g ada, kemampuan utk diplomasi ke dunia International gak ada, calon boneka megatron, tanya si ade armando apa itu perjanjian batu tulis ganjar mega.",julpikar dungu kamu hadap nyata ganjar memang pantas pimpin gagas prestasi mampu diplomasi dunia international calon boneka megatron tanya armando janji batu tulis ganjar mega,2,"['julpikar', 'dungu', 'kamu', 'hadap', 'nyata', 'ganjar', 'memang', 'pantas', 'pimpin', 'gagas', 'prestasi', 'mampu', 'diplomasi', 'dunia', 'international', 'calon', 'boneka', 'megatron', 'tanya', 'armando', 'janji', 'batu', 'tulis', 'ganjar', 'mega']",julpikar dungu ganjar pimpin gagas prestasi diplomasi dunia international calon boneka megatron armando janji batu tulis ganjar mega
"Merakyat, Tegas, Berani, Bersih, Solutif, Kharismatik, Pluralisme, Anti korupsi, Anti radikalisme, anti intoleransi dan Peduli sama rakyat kecil... Itulah Ganjar Pranowo... ????  #2024PilihGanjar #2024GanjarPresidenRI https://t.co/IFYJxWbnUP",rakyat tegas berani bersih solutif kharismatik pluralisme anti korupsi anti radikalisme anti intoleransi peduli sama rakyat kecil ganjar pranowo,1,"['rakyat', 'tegas', 'berani', 'bersih', 'solutif', 'kharismatik', 'pluralisme', 'anti', 'korupsi', 'anti', 'radikalisme', 'anti', 'intoleransi', 'peduli', 'sama', 'rakyat', 'kecil', 'ganjar', 'pranowo']",rakyat berani bersih solutif kharismatik pluralisme anti korupsi anti radikalisme anti intoleransi peduli rakyat ganjar pranowo
"Diluar dua putra bangsa terbaik , Ganjar dan Prabowo yang sedang ngetrend , Budiman adalah orang yg ke tiganya Tapi secara kwalitas dan rekam jejak , cuma Ganjar dan Budiman milik PDI P yang terbaik , menurut saya pribadi",luar putra bangsa baik ganjar prabowo sedang ngetrend budiman orang tiga cara kualitas rekam jejak cuma ganjar budiman milik baik saya pribadi,1,"['luar', 'putra', 'bangsa', 'baik', 'ganjar', 'prabowo', 'sedang', 'ngetrend', 'budiman', 'orang', 'tiga', 'cara', 'kualitas', 'rekam', 'jejak', 'cuma', 'ganjar', 'budiman', 'milik', 'baik', 'saya', 'pribadi']",putra bangsa baik ganjar prabowo ngetrend budiman kualitas rekam jejak ganjar budiman milik baik pribadi
Sabar pk ganjar  Akan ada orang yg mengkritik baju yg  panjenengan pake untuk kampanye  ya uwes sing sabar kita maklumi karena tidak semua orang suka dan ngerti filosopi makna warna baju yg panjenengan pake termasuk pk mardani alisera https,sabar penjahatkelamin ganjar orang kritik baju anda pakai kampanye sabar maklum tidak semua orang suka erti filosofi makna warna baju yang anda pakai masuk penjahatkelamin mardani alisera,0,"['sabar', 'penjahatkelamin', 'ganjar', 'orang', 'kritik', 'baju', 'anda', 'pakai', 'kampanye', 'sabar', 'maklum', 'tidak', 'semua', 'orang', 'suka', 'erti', 'filosofi', 'makna', 'warna', 'baju', 'yang', 'anda', 'pakai', 'masuk', 'penjahatkelamin', 'mardani', 'alisera']",sabar penjahatkelamin ganjar kritik baju pakai kampanye sabar maklum suka filosofi makna warna baju pakai penjahatkelamin mardani alisera
"Merakyat, Tegas, Berani, Bersih, Solutif, Kharismatik, Pluralisme, Anti korupsi, Anti radikalisme, anti intoleransi dan Peduli sama rakyat kecil... Itulah Ganjar Pranowo... ????  #2024PilihGanjar #2024GanjarPresidenRI https://t.co/IFYJxWbnUP",rakyat tegas berani bersih solutif kharismatik pluralisme anti korupsi anti radikalisme anti intoleransi peduli sama rakyat kecil ganjar pranowo,1,"['rakyat', 'tegas', 'berani', 'bersih', 'solutif', 'kharismatik', 'pluralisme', 'anti', 'korupsi', 'anti', 'radikalisme', 'anti', 'intoleransi', 'peduli', 'sama', 'rakyat', 'kecil', 'ganjar', 'pranowo']",rakyat berani bersih solutif kharismatik pluralisme anti korupsi anti radikalisme anti intoleransi peduli rakyat ganjar pranowo
"Kalau PKS kritik artinya itu sudah benar. Karena dimanapun PKS berpihak, maka kita dipihak seberangnya  Mardani PKS Kritik Baju Hitam-Putih Ganjar Karya Jokowi: Kurang Cerah https://t.co/RsS8NTO4ZO",kalau kritik arti benar mana pihak kita pihak seberang mardani kritik baju hitam putih ganjar karya jokowi kurang cerah,2,"['kalau', 'kritik', 'arti', 'benar', 'mana', 'pihak', 'kita', 'pihak', 'seberang', 'mardani', 'kritik', 'baju', 'hitam', 'putih', 'ganjar', 'karya', 'jokowi', 'kurang', 'cerah']",kritik seberang mardani kritik baju hitam putih ganjar karya jokowi cerah
Preferensi Panglima Andika terhadap sosok Ganjar ????????  || Keisya Mario CONGRATULATION JIN Bali Dingin Binus Suzy Barbie Cabe Oppenheimer MC YEONJUN Park Jihoon ||| https,preferensi panglima andika sosok ganjar isya mario congratulation bal dingin bus suzy cabe yeonjun,1,"['preferensi', 'panglima', 'andika', 'sosok', 'ganjar', 'isya', 'mario', 'congratulation', 'bal', 'dingin', 'bus', 'suzy', 'cabe', 'yeonjun']",preferensi panglima andika sosok ganjar isya mario congratulation bal dingin bus yeonjun
"Ganjar bukan super, bukan hebat, bukan sempurna.banyak sekali kekuranganya, tapi data dan fakta membuktikan dia capres terbaik yg ada dan yg bisa membawa Indonesia lebih baik 2024-2029. Jadi pastikan dukung dan pilih di demi Indonesi lebih baik.",ganjar bukan super bukan hebat bukan sempurna banyak sekali kekuranganya data fakta bukti capres baik yang bawa indonesia lebih baik jadi pasti dukung pilih indonesia lebih baik,1,"['ganjar', 'bukan', 'super', 'bukan', 'hebat', 'bukan', 'sempurna', 'banyak', 'sekali', 'kekuranganya', 'data', 'fakta', 'bukti', 'capres', 'baik', 'yang', 'bawa', 'indonesia', 'lebih', 'baik', 'jadi', 'pasti', 'dukung', 'pilih', 'indonesia', 'lebih', 'baik']",ganjar super hebat sempurna kekuranganya data fakta bukti capres baik bawa indonesia baik dukung pilih indonesia baik
@__AnakKolong Iya. Kadang kita kecewa. Apa dia berharap capresnya pdi lebih dr Ganjar ?,kadang kecewa harap capresnya lebih ganjar,2,"['kadang', 'kecewa', 'harap', 'capresnya', 'lebih', 'ganjar']",kadang kecewa harap capresnya ganjar
@KakekHalal Apakah Ganjar akan dievaluasi untuk pencapresannya???,ganjar evaluasi pencapresannya,0,"['ganjar', 'evaluasi', 'pencapresannya']",ganjar evaluasi pencapresannya
@Ganjaran_app @ganjarpranowo Ramah bgt dong pastinya pak ganjar,ramah banget dong pasti ganjar,1,"['ramah', 'banget', 'dong', 'pasti', 'ganjar']",ramah banget ganjar
@ekowboy2 Pilih Pribumi donk https,pilih pribumi donk,1,"['pilih', 'pribumi', 'donk']",pilih pribumi
"Survei Capres 2024 Terbaru Hari Ini, Elektabilitas Prabowo, Ganjar dan Anies, Siapa Unggul di Jatim?  #Pilpres2024 #capres #Prabowo #Ganjar #Anies #surveicapres  https://t.co/z2haIwYw0l lewat @tribunnews",survei capres baru hari elektabilitas prabowo ganjar anies siapa unggul jatim lewat,0,"['survei', 'capres', 'baru', 'hari', 'elektabilitas', 'prabowo', 'ganjar', 'anies', 'siapa', 'unggul', 'jatim', 'lewat']",survei capres elektabilitas prabowo ganjar anies unggul jatim
@Ganjaran_app Gen z dukung pak ganjar,dukung ganjar,1,"['dukung', 'ganjar']",dukung ganjar
"Era Gubernur Ganjar Pranowo dan Presidennya Jokowi, Jateng berbenah secara besar2an, pembangunan infrastruktur menelan biaya yang sangat fantastis yaitu sebesar 258,76 T.  Pembangunannya bertahap dan terus berlanjut, ini yang di namakan sinergitas pusat dan daerah.",gubernur ganjar pranowo presiden jokowi jateng benah besar bangun infrastruktur tel biaya sangat fantastis besar bangun tahap terus lanjut nama sinergitas pusat daerah,1,"['gubernur', 'ganjar', 'pranowo', 'presiden', 'jokowi', 'jateng', 'benah', 'besar', 'bangun', 'infrastruktur', 'tel', 'biaya', 'sangat', 'fantastis', 'besar', 'bangun', 'tahap', 'terus', 'lanjut', 'nama', 'sinergitas', 'pusat', 'daerah']",gubernur ganjar pranowo presiden jokowi jateng benah bangun infrastruktur tel biaya fantastis bangun tahap terus lanjut nama sinergitas pusat daerah
