full_text,text_clean,label
"@democrazymedia Jagoan lu dulu, Jokowi, sampai sekarang ngga bisa realisasi tuh janji dia mau bangun stadion persija. Sekarang lu ngibul lagi kl ganjar mo bikin stadion besar. Ngibul lu yg besar Hasto @PDI_Perjuangan",jago kamu dulu jokowi sekarang bisa realisasi janji bangun stadion persija sekarang kamu bohong kalo ganjar buat stadion besar bohong kamu besar hasto,2
"@Dennysiregar7 Sudah lah emang si ganjar itu bakal di tinggal gerbong relawan, gagasan gak ada, prestasi g ada, kemampyan utk diplomasi ke dunia internasional g ada, bakal calon boneka megatron krn ada perjanjian batu tulis mega ganjr kata si ade armando makin dikuatkan oleh si budiman skrg.",memang ganjar bakal tinggal gerbong rawan gagas prestasi kemampyan diplomasi dunia internasional bakal calon boneka megatron janji batu tulis mega ganjr kata armando makin kuat budiman sekarang,2
"@SWEETAL154 ...ntar kalo Ganjar kepilih, keknya nasibnya kek pakdhe Jokowi.... nenek elo kekunci dikamar mandi... nyalahin pak Ganjar",jika ganjar pilih kayak nasib kayak pakdhe jokowi nenek kunci kamar mandi nyalahin ganjar,1
"@ganjarpranowo Jalan di kampung saya kel.cilibur kec.paguyangan, kab.brebes pak sangat tidak layak pakai pak, sudah puluhan tahun rusak, sekalinya dibenerin paling bertahan sebulan dua bulan itu pun karna swadaya masyarakat. Tolong pak ganjar minta perhatian khususnya tolong????????",jalan kampung lurah cilibur camat paguyangan kabupaten brebes sangat layak pakai puluh tahun rusak sekali dibenerin paling tahan bulan bulan swadaya masyarakat ganjar minta perhati khusus,2
"@ferrykoto @budimandjatmiko Cara berpolitik Budiman memang jauh ke depan, sementara sebagian besar masih jalan di tempat. Kemunculan Ganjar, kalau dicermati adalah hasil dari beberapa lembaga survei yg mengorbitkannya dari gubernur biasa saja sehingga Megawati TERPAKSA mencapreskannya. Entah siapa bohirnya",cara politik budiman memang jauh depan bagi besar jalan tempat muncul ganjar kalau cermat hasil beberapa lembaga survei orbit gubernur biasa sehingga megawati paksa mencapreskannya tidaktahu siapa bohirnya,2
"Gak usah saling hina,klaim,semua manusia sama, ingin bahagia,membuat orang lain bahagia itu manusia yg terbaik.utk urusan negara serahkan ahlinya yg sdh nyata. GANJAR PRANOWO yg terbaik saat ini, terbukti dgn data dan fakta, yg lain belum saatnya..",perlu saling hina klaim semua manusia sama bahagia buat orang bahagia manusia baik urus negara serah ahli nyata ganjar pranowo baik bukti data fakta lain saat,1
"Ada fakta menarik di balik sosok Pak Ganjar yg sering mengenakan baju garis hitam putih.   Ternyata baju itu yang mendesain Presiden @jokowi , dan kini menjadi trend di kalangan relawan Ganjar. @ganjarpranowo https://t.co/On4VA1mOXd",fakta tarik balik sosok ganjar sering kena baju garis hitam putih nyata baju desain presiden kini jadi trend kalang rawan ganjar,0
Pesan Ganjar Pranowo ke Jurkam,pesan ganjar pranowo jurkam,0
Ganjar Pranowo tidak akan menggunakan politik uang dan politik identitas dalam menarik simpati masyarakat  Dengan elektabilitas Pak Ganjar yang tinggi tentunya seluruh masyarakat Indonesia sudah tahu dengan kinerja Gubernur Jateng tersebut.  Keysia Dingin Bali Tidur Binus https,ganjar pranowo akan guna politik uang politik identitas tarik simpati masyarakat elektabilitas ganjar tinggi tentu seluruh masyarakat indonesia tahu kerja gubernur jateng sebut dingin bal tidur bus,1
"@putrisakera Ganjar Orangnya Jokowi ( asli Indonesia ) Prabowo orangnya Jokowi ( asli Indonesia )  Anies ? ( Asli orang Arab ) faktanya bgitu kan?  Sorry ya, Putra - Putri Pribumi Nusantara masih banyak yg bisa dan siap jadi pemimpin kami. Rakyat Indonesia tdk ingin hancur seperti Yaman..",ganjar orang jokowi asli indonesia prabowo orang jokowi asli indonesia anies asli orang arab fakta bgitu maaf putra putri pribumi nusantara banyak bisa siap jadi pimpin rakyat indonesia ingin hancur yaman,1
"Tahun 2024 PDIP diambang kehancuran, terutama setelah mencapreskan Ganjar yang penuh masalah dan zero prestasi. Lengkap sudah jalan menuju kehancuran  Sudah saatnya PDIP tenggelam  https://t.co/GKb1uz7TF5",tahun pdip ambang hancur utama mencapreskan ganjar penuh masalah zero prestasi lengkap jalan tuju hancur saat pdip tenggelam,2
"siaga KPU curang,  https://t.co/iIIVCYDW38  Erick Thohir Paling Diterima Masyarakat Jadi Cawapres Ganjar Pranowo , lebih banyak detail : https://t.co/TVp5Sj1R4H",siaga curang erick thohir paling terima masyarakat jadi cawapres ganjar pranowo lebih banyak detail,1
@Dennysiregar7 Baliho GANJAR dah digulung.... Baliho SI BAPAK jg dah digulung....  Mmg relawan2 dri pihak 2 capres itu butuh edukasi lbh banyak.,baliho ganjar gulung baliho bapak sudah gulung memang rawan pihak capres butuh edukasi lebih banyak,0
"@Uki23 BPJS disorot Jokowi dipuja Ganjar di dukung  Demi perolehan suara, yg sungsang pun dilakukan bwakakak",bpjs sorot jokowi puja ganjar dukung oleh suara sungsang laku bwakakak,1
"@Hasbil_Lbs @ganjarpranowo Perintah rakyat bisa diabaikan, perintah Ketum PDIP siap laksanakan lalu siapa sesungguhnya tuan dari Ganjar ? ??????",perintah rakyat abai perintah ketuaumum pdip siap laksana lalu siapa sungguh tuan ganjar,2
@mbahsurip_sanse @CNNIndonesia Pendukung Ganjar Pranowo ????. https,dukung ganjar pranowo,1
"Para Purnawirawan TNI - POLRI serta Keluarga Besarnya di Jawa Tengah. Dukung Anies Baswedan pada Pilpres 2024.  Suara Ganjar sudah mulai tergerus di JATENG"" https://t.co/zachcdPYeV""",purnawirawan polri keluarga besar jawa tengah dukung anies baswedan pilpres suara ganjar mulai gerus jateng,2
@e100ss @Unair_Official  Really? Persamaan dengan Jendral Sudirman? Jendral Sudirman orang saleh. Enggak kepikiran nonton bokep kayak Ganjar. MALU2IN cara jilatnya.,really sama jendral sudirman jendral sudirman orang saleh pikir nonton porno ganjar malu cara jilat,2
Bawaslu nya pro ganjar.. Tolol,bawaslu profesional ganjar tolol,2
@geloraco Ngak mungkinlah Ganjar susah bikin seragam Hitam Putih garis-garis masak di batalkan..,mungkin ganjar susah buat seragam hitam putih garis garis masak batal,0
@PresidenKopi Ganjar batal y?,ganjar batal,2
"@DokterTifa Pak Ganjar Pranowo Presiden RI ke 8 makin mulus jalannya, hanya orang pesong/gila yg berkeberatan dgn ramalan2 bodoh tolol dan gobloknya MERDEKA??????????.",ganjar pranowo presiden makin mulus jalan orang pesong gila rat ramal bodoh tolol goblok merdeka,1
"Ganjar Bertemu Masyayikh dan Habaib se-Indonesia di Rembang.  Pertemuan bertajuk Silaturahmi Masyayikh se-Indonesia"" itu untuk berdiskusi, di antaranya membahas soal kemajuan pendidikan hingga rencana pembangunan Ibu Kota Nusantara (IKN). @ganjarpranowo https://t.co/7qkMRSHHSU""",ganjar temu masyayikh habaib indonesia rembang temu tajuk silaturahmi masyayikh indonesia diskus antara bahas soal maju didik hingga rencana bangun kota nusantara,1
"@Dennysiregar7 @budimandjatmiko Sudah lah julpikar dongok, lu hadapi aja kenyataan bahwa si ganjar itu emang g pantas memimpin, gagasan gak ada, prestasi g ada, kemampuan utk diplomasi ke dunia International gak ada, calon boneka megatron, tanya si ade armando apa itu perjanjian batu tulis ganjar mega.",julpikar dungu kamu hadap nyata ganjar memang pantas pimpin gagas prestasi mampu diplomasi dunia international calon boneka megatron tanya armando janji batu tulis ganjar mega,2
"Merakyat, Tegas, Berani, Bersih, Solutif, Kharismatik, Pluralisme, Anti korupsi, Anti radikalisme, anti intoleransi dan Peduli sama rakyat kecil... Itulah Ganjar Pranowo... ????  #2024PilihGanjar #2024GanjarPresidenRI https://t.co/IFYJxWbnUP",rakyat tegas berani bersih solutif kharismatik pluralisme anti korupsi anti radikalisme anti intoleransi peduli sama rakyat kecil ganjar pranowo,1
"Diluar dua putra bangsa terbaik , Ganjar dan Prabowo yang sedang ngetrend , Budiman adalah orang yg ke tiganya Tapi secara kwalitas dan rekam jejak , cuma Ganjar dan Budiman milik PDI P yang terbaik , menurut saya pribadi",luar putra bangsa baik ganjar prabowo sedang ngetrend budiman orang tiga cara kualitas rekam jejak cuma ganjar budiman milik baik saya pribadi,1
Sabar pk ganjar  Akan ada orang yg mengkritik baju yg  panjenengan pake untuk kampanye  ya uwes sing sabar kita maklumi karena tidak semua orang suka dan ngerti filosopi makna warna baju yg panjenengan pake termasuk pk mardani alisera https,sabar penjahatkelamin ganjar orang kritik baju anda pakai kampanye sabar maklum tidak semua orang suka erti filosofi makna warna baju yang anda pakai masuk penjahatkelamin mardani alisera,0
"Merakyat, Tegas, Berani, Bersih, Solutif, Kharismatik, Pluralisme, Anti korupsi, Anti radikalisme, anti intoleransi dan Peduli sama rakyat kecil... Itulah Ganjar Pranowo... ????  #2024PilihGanjar #2024GanjarPresidenRI https://t.co/IFYJxWbnUP",rakyat tegas berani bersih solutif kharismatik pluralisme anti korupsi anti radikalisme anti intoleransi peduli sama rakyat kecil ganjar pranowo,1
"Kalau PKS kritik artinya itu sudah benar. Karena dimanapun PKS berpihak, maka kita dipihak seberangnya  Mardani PKS Kritik Baju Hitam-Putih Ganjar Karya Jokowi: Kurang Cerah https://t.co/RsS8NTO4ZO",kalau kritik arti benar mana pihak kita pihak seberang mardani kritik baju hitam putih ganjar karya jokowi kurang cerah,2
Preferensi Panglima Andika terhadap sosok Ganjar ????????  || Keisya Mario CONGRATULATION JIN Bali Dingin Binus Suzy Barbie Cabe Oppenheimer MC YEONJUN Park Jihoon ||| https,preferensi panglima andika sosok ganjar isya mario congratulation bal dingin bus cabe,1
"Ganjar bukan super, bukan hebat, bukan sempurna.banyak sekali kekuranganya, tapi data dan fakta membuktikan dia capres terbaik yg ada dan yg bisa membawa Indonesia lebih baik 2024-2029. Jadi pastikan dukung dan pilih di demi Indonesi lebih baik.",ganjar bukan super bukan hebat bukan sempurna banyak sekali kekuranganya data fakta bukti capres baik yang bawa indonesia lebih baik jadi pasti dukung pilih indonesia lebih baik,1
@__AnakKolong Iya. Kadang kita kecewa. Apa dia berharap capresnya pdi lebih dr Ganjar ?,kadang kecewa harap capresnya lebih ganjar,2
@KakekHalal Apakah Ganjar akan dievaluasi untuk pencapresannya???,ganjar evaluasi pencapresannya,0
@Ganjaran_app @ganjarpranowo Ramah bgt dong pastinya pak ganjar,ramah banget pasti ganjar,1
@ekowboy2 Pilih Pribumi donk https,pilih pribumi,1
"Survei Capres 2024 Terbaru Hari Ini, Elektabilitas Prabowo, Ganjar dan Anies, Siapa Unggul di Jatim?  #Pilpres2024 #capres #Prabowo #Ganjar #Anies #surveicapres  https://t.co/z2haIwYw0l lewat @tribunnews",survei capres baru hari elektabilitas prabowo ganjar anies siapa unggul jatim lewat,0
@Ganjaran_app Gen z dukung pak ganjar,dukung ganjar,1
"Era Gubernur Ganjar Pranowo dan Presidennya Jokowi, Jateng berbenah secara besar2an, pembangunan infrastruktur menelan biaya yang sangat fantastis yaitu sebesar 258,76 T.  Pembangunannya bertahap dan terus berlanjut, ini yang di namakan sinergitas pusat dan daerah.",gubernur ganjar pranowo presiden jokowi jateng benah besar bangun infrastruktur tel biaya sangat fantastis besar bangun tahap terus lanjut nama sinergitas pusat daerah,1
@tvOneNews Benarlah kata Rocky Gerung &amp  Noel. Ganjar adlh satu2nya capres di alam semesta ini yg bingung mo ngapain. Ga punya nyali utk bawa gagasan sendiri selain nyusu sama Jokowi &amp  PDIP. Otaknya udah tersandera dr semua arah.,benar kata rocky gerung noel ganjar satu capres alam semesta bingung sedangapa punya nyali bawa gagas sendiri nyusu sama jokowi pdip otak sandera semua arah,2
@Ganjaran_app @ganjarpranowo Emang pak ganjar tak ada duanya,memang ganjar dua,1
"Jawa Tengah lagi,Ganjar sibuk ke luar Semarang ??????",jawa tengah ganjar sibuk luar semarang,0
@inilahdotcom Kasian Ganjar,kasi ganjar,0
@DoankWarto Buzer Ganjar cumak percaya survey bayaran @yunartowijaya @saiful_mujani .,buzer ganjar cumak percaya survey bayar,2
"di Jateng aja juga Gak Gampang,Butuh Presiden untuk Naikkan Citra Ganjar ??????",jateng juga gampang butuh presiden naik citra ganjar,2
"@KakekHalal Yg merubah prinsip itu cuma duit &amp  jabatan, atau gimn mas @budimandjatmiko ? tp sy berkeyakinan ini bagian dr upaya menyatukan ganjar- prabowo. Kl sama2 ingin melanjutkan karya jokowi ya ngapaian jd lawan kan ??? Biar 1 xputaran &amp  hemat uang negara",rubah prinsip cuma duit jabat bagaimana saya yakin bagi upaya satu ganjar prabowo kalo sama lanjut karya jokowi ngapaian jadi lawan xputaran hemat uang negara,0
@Ganjaran_app @ganjarpranowo pak ganjar selalu di hati,ganjar selalu hati,1
@democrazymedia Jateng stadion mewah hasil ganjar aja gak ada,jateng stadion mewah hasil ganjar,2
@Ganjaran_app @ganjarpranowo pak ganjar keren banget,ganjar keren banget,1
@Ganjaran_app berantas korupsi bersama pak ganjar,berantas korupsi sama ganjar,1
@Ganjaran_app @ganjarpranowo pak ganjar calon pemimpin terbaik,ganjar calon pimpin baik,1
"@PetitahP Mempertahankan kedaulatan Negara dengan mengandalkan pesawat bekas dibeli dengan nilai fantastis, apakah orang seperti bisa diandalkan ? Ini lho capaian Pak Ganjar https://t.co/dJ96MXF1lQ",tahan daulat negara andal pesawat bekas beli nilai fantastis orang bisa andal capai ganjar,2
@Dunianyasantai @MayaA62580468 garis vertikal ama horisontal aja lu nggak bisa bedain  kalau ada orang atau tokoh dari Partai PKS berkomentar miring atas pilihan kemeja Garis Hitam Putih  artinya Kemeja Garis Hitam Putih adalah 100 % benar  Hitam putih itu punya makna jelas yaitu Sikap Politik yg tidak abu-abu https,garis vertikal sama horisontal kamu bisa bedain kalau orang tokoh partai komentar miring atas pilih kemeja garis hitam putih arti kemeja garis hitam putih benar hitam putih punya makna jelas sikap politik tidak,0
@bintangku206 @aniesbaswedan @Twitter Smakin bodoh.. Bkin poling di di followers yg se frekwensi aja masih ada pemilih ganjar dan prabowo di kalangan kalian sndiri??? Makin yakin tidak milih anies klo gt harusnya... Dlm rumahbkalian sndiri aja g menang 100%,makin bodoh bikin poling ikut frekuensi masih pilih ganjar prabowo kalang kalian sendiri makin yakin milih anies kalau harus rumahkalian sendiri tidak menang,2
@KakekHalal Hahahaha...makin panik loe...makan tu tai ganjar ama lu??????,hahahaha makin panik kamu makan ganjar sama kamu,2
@Tan_Mar3M @yusuf_dumdum Ganjar punya kekuasaan wilayah dan terbukti berhasil. Lha prabowo untuk mendulang suara aja masih nebeng pak Jokowi yang plonga plongo. Ra isin,ganjar punya kuasa wilayah bukti hasil prabowo dulang suara masih nebeng jokowi plonga plongo malu,2
"@Edwinbalox_69 @PDI_Perjuangan Siapapun bebas mengajukan Premis yg merupakan FAKTA TERBUKA. Soal PDIP menang Bersama JOKOWI Ya. Mari kita lihat apakah nanti masih Menang bersama Ganjar si Pengkhianat Pakde JOKOWI, yang demi syahwat dapat Tiket Capres , Tega Menikam Jokowi dari Belakang. Let's see !",siapa bebas aju premis rupa fakta buka soal pdip menang sama jokowi kita lihat nanti menang sama ganjar khianat pakde jokowi demi syahwat tiket capres tega tikam jokowi belakang,2
Relawan Ganjar GP Nusantara NTB Bidik Milenial dan Gen Z https,rawan ganjar nusantara bidik milenial,1
Sandiaga Ingin Ajak Ganjar dan Prabowo Liburan ke Danau Toba https,sandiaga ajak ganjar prabowo libur danau toba,0
Masyayikh dan habaib bersama Ganjar membangun Indonesia di 2024.  #GanjarCapres https,masyayikh habaib sama ganjar bangun indonesia,1
"Dalam pertemuan tersebut, Ganjar bersama para relawan serentak memakai kemeja bermotif garis hitam dan putih. https://t.co/kd8EJRdmvT",temu sebut ganjar sama rawan serentak pakai kemeja motif garis hitam putih,0
@Miduk17 Apakah akan klasifikasinya juga seheboh saat pencopotan spanduk Pak Ganjar...???,akan klasifikasi heboh copot spanduk ganjar,0
"@ganjarpranowo Atos atos Bapak Ganjar.. Saat warna hitam dan putih bersinergi bisa menjadi warna kolaboratif baru ABU ABU""""",atos atos bapak ganjar warna hitam putih sinergi jadi warna kolaboratif baru,0
"@seruanhl ini strategi pdip untuk memenangkan prabowo, ganjar hanya untuk pemecah suara anis.... jika anis kalah di putaran pertama, di putaran ke dua mereka akan jadi koalisi besar, dan ganjar jadi Wapres nya.... sdh bisa di baca",strategi pdip menang prabowo ganjar untuk pecah suara anis anis kalah putar pertama putar akan jadi koalisi besar ganjar jadi wapres baca,0
@Ganjaran_app @ganjarpranowo Yakin bgt pak ganjar jadi presiden 2024,yakin banget ganjar jadi presiden,1
@Ganjaran_app @ganjarpranowo sayang sama pak Ganjar deh,sayang sama ganjar,1
@Ganjaran_app @ganjarpranowo keren pak Ganjar,keren ganjar,1
@Ganjaran_app @ganjarpranowo merakyat sudah pasti pak ganjar,rakyat pasti ganjar,1
@Ganjaran_app @ganjarpranowo pak ganjar emang luar biasa,ganjar memang luar biasa,1
@Ganjaran_app @ganjarpranowo emng beda bgt pak ganjar,memang beda banget ganjar,1
@Ganjaran_app @ganjarpranowo hal yang seperti ini semakin yakin bahwa pak Ganjar yang akan memimpin Indonesia,seperti makin yakin ganjar akan pimpin indonesia,1
"@KompasTV Disini masalahnya adalah unsur KKN nya,,wajar saja dipecat,saya mendukung kebijakan ganjar,bagaimana pun ini celah korupsi",sini masalah unsur wajar pecat dukung bijak ganjar bagaimana celah korupsi,1
@ganjarpranowo Siaaap bergerak menangkan Ganjar Pranowo dg kostum garis hitam putih,siaaap gerak menang ganjar pranowo kostum garis hitam putih,1
@Ganjaran_app @ganjarpranowo Mari kita semangat memperjuangkan ganjar sebagai presiden pilihan rakyat indonesia,kita semangat juang ganjar presiden pilih rakyat indonesia,1
@DokterTifa Mas Haji Ganjar lawan pak Haji Prabowo bakalan seru kayaknye kak wkwkwkwk,haji ganjar lawan haji prabowo seru kayaknye wkwkwkwk,0
"@VIVAcoid waduh parah ini parah sekali, mas jend besar Soedirman di samakan dg ganjar, rendah sekali, beda jauh Jendral Besar Soedirman itu pejuang kemerdekaan yg jiwa raganya di pertaruhkan utk KEMERDEKAAN bkn jabatan, woi !?! kalau ganjar yg di kejar jabatan woi !?! beda jauh !!!!",waduh parah parah sekali jendral besar soedirman sama ganjar rendah sekali beda jauh jendral besar soedirman juang merdeka jiwa raga taruh merdeka bukan jabat kalau ganjar kejar jabat beda jauh,2
@Ganjaran_app @ganjarpranowo pak Ganjar begitu di cintai rakyatnya,ganjar cinta rakyat,1
@Ganjaran_app @ganjarpranowo terbukti banget pak ganjar sangat merakyat,bukti banget ganjar sangat rakyat,1
@Hansunriko @ganjarpranowo Ganjar penerus Jokowi,ganjar terus jokowi,1
@Ganjaran_app @ganjarpranowo yang bener emang milih pak Ganjar aja ??,benar memang milih ganjar,1
"Mantul letkol...TNI Harus Netral... Dituding Mengintimidasi,Letkol Edi Purwoko yang Perintahkan Copot Baliho Ganjar Pranowo Beri Pengakuan, Katanya... https://t.co/bTtOxufgTj",mantul letkol netral tuding intimidasi letkol purwoko perintah copot baliho ganjar pranowo beri aku kata,2
"@KompasTV Bikin kaos buat ganjar, kirim anak buah buat ketemu prabowo. Mainannya vulgar. Ga elegan.",buat kaos buat ganjar kirim anak buah buat ketemu prabowo main vulgar elegan,2
"@ganjarpranowo Alhamdulillah, padahal tabrakannya ngeri ... Sehat selalu Pak Ganjar agr selalu mampu melindungi &amp  membantu rakyat Indonesia",alhamdulillah padahal tabrak ngeri sehat selalu ganjar selalu mampu lindung bantu rakyat indonesia,1
Jokowi Ogah Wariskan Proyek Mangkrak ke Prabowo-Ganjar-Anies! - CNBC Indonesia #Prabowo #BangkitBersama https,jokowi tidakmau waris proyek mangkrak prabowo ganjar anies cnbc indonesia,0
Berita Prabowo ,berita prabowo,0
Berita Prabowo ,berita prabowo,0
Roundup,roundup,0
Presiden Jokowi sepakat dukung Ganjar  #GanjarBerikanKemajuan #ganjarpilihanterbaik #GanjarPranowo #GanjarFor2024 #PemiluSerentak2024 #Pemilu2024 #LikeForLikes #Trending #FolloMe https,presiden jokowi sepakat dukung ganjar,1
@newIding30 Yup  Dukung Ganjar untuk RI1 ??,dukung ganjar,1
@ekowboy2 Kebalik Blok Eko Goblok. Ganjar Elektabilitas teratas ngapain panik. Tu Junjungan Lo WAN AIBON Yang panik. WAN NGIBUL terancam gagal nyapres karena koalisinya bubar,balik blok bodoh ganjar elektabilitas atas sedangapa panik junjung kamu aibon panik bohong ancam gagal nyapres koalisi bubar,2
@BungDenni @PartaiSocmed @ganjarpranowo @susipudjiastuti Haha ha bodol otak ya,tertawa tertawa bodoh otak,2
"@Miduk17 Makanya jadi orang nurut jgn ngeyel duk miduk, nih ganjar aja masih dikasih kampanya gratis di kota samsat seluruh jawa tengah, untung pendukung capres lain gak ada yg minta copot ?? https://t.co/FxzVpDI18I",makanya jadi orang nurut jangan ngeyel miduk ganjar masih kasih kampa gratis kota samsat seluruh jawa tengah untung dukung capres yang minta copot,1
"@MichelAdam9191 Itu sudah betul kalau diturunkan, relawan Ganjar jangan arogan.",betul kalau turun rawan ganjar jangan arogan,2
Ganjar??,ganjar,0
Ganjar Pranowo Pemimpin yang dekat dengan para ulama  #GanjarBerikanKemajuan #ganjarpilihanterbaik #GanjarPranowo #GanjarFor2024 #PemiluSerentak2024 #Pemilu2024 #LikeForLikes #Trending #FolloMe https,ganjar pranowo pimpin dekat para ulama,1
"@ahlansarifudin6 @KompasTV Njir... Pungli berkedok infak itu cok, udh tepat it langkah pak ganjar",njir pungli kedok infak udah tepat langkah ganjar,2
@03__nakula Baliho Ganjar mengganggu pemandangan- ngeliatnya org jadi mikirin pilem porno.   Klo baliho prabowo kagak. Wkwkwkwk,baliho ganjar ganggu pandang ngeliatnya orang jadi mikirin pilem porno kalau baliho prabowo wkwkwkwk,2
@Restty_cayah @jokowi yaelah kadrun masih aja posting issue murahan seperti ini ...... saat ini ramenya capres drun .... ganjar vs prabowo ...... eh anies juga ya ? ??????,yaelah kadrun saja posting murah saat ramenya capres kadrun ganjar prabowo anies,0
@__AnakKolong __Woiii.... @PetitahP yang bisa menentukan jadi apa tidak pk Ganjar jadi presiden itu Masyarakat .  __Trimedya atau efensi cs BUKAN penentu jadi apa tidaknya ..  ????,woiii bisa tentu jadi penjahatkelamin ganjar jadi presiden masyarakat trimedya efensi bukan tentu jadi tidak,0
"@Mdy_Asmara1701 Pak Ganjar, ini materi kampanye nih",ganjar materi kampanye,0
Christine Hakim Baca Puisi Bung Karno di Acara Relawan Ganjar https,christine hakim baca puisi bung karno acara rawan ganjar,0
"Baihaki mengemukakan, elektabilitas Prabowo Subianto berada di angka 33,7 persen disusul Ganjar Pranowo 30,5 persen, dan Anies Baswedan di angka 23,3 persen.  https://t.co/Kt2rXACfuj",baihaki muka elektabilitas prabowo subianto ada angka persen susul ganjar pranowo persen anies baswedan angka persen,0
Ganjar Ungkap Baju Garis Lurus Didesain oleh Jokowi https,ganjar ungkap baju garis lurus desain jokowi,0
@VIVAcoid Jend. Sudirman nggak kenal sama kakek Sugiono lha Ganjar pasti kenal siapa kakek Sugiono ??,jendral sudirman kenal sama kakek sugiono ganjar kenal siapa kakek sugiono,2
Ganjar Pranowo Sebut Relawan Punya Andil Besar dalam Pemilu https,ganjar pranowo sebut rawan punya andil besar milu,0
"@DokterTifa Capres yg mendukung atau didukung Amerika, sangat rawan membuat Indonesia mundur. Pilih Ganjar yg pasti bisa membawa Indonesia maju. https://t.co/bPvTKHGgPi",capres dukung dukung amerika sangat rawan buat indonesia mundur pilih ganjar pasti bawa indonesia maju,1
"@kurawa Kenapa pak @ganjarpranowo gak milih baju dasar merah aja ya, kan di manchunian, fans MU, sedang garis garis putih hitam itu Jersey Juventus, jangan jangan pak Ganjar Juventini",milih baju dasar merah manchunian fans sedang garis garis putih hitam jersey juventus jangan jangan ganjar juventini,0
"@Hasbil_Lbs @ganjarpranowo Immanuel Ebenezer. Pengamat Politik.  Ganjar Cuma Capres Boneka, kan boneka tidak ada otaknya.  Nonton Konten porno, apa ini gagasan seorang Pemimpin yg Idealis.  Ganjar tidak punya gagasan untuk masa depan NKRI""  https://t.co/HNZcQa79i1 https://t.co/QnU6wl6911""",immanuel ebenezer amat politik ganjar cuma capres boneka boneka otak nonton konten porno gagas orang pimpin idealis ganjar punya gagas masa depan nkri,2
"@akunke10_212 Do'a saya sebagai orang jawa tengah, ABG alias Asal Bukan Ganjar TITIK",menjadiseseorang bagai orang jawa tengah alias asal bukan ganjar titik,2
